date,steps,distance_miles,journey_id,character,segment,cumulative_miles,cumulative_steps,all_time_cumulative_miles,all_time_cumulative_steps
2024-09-06,9504,3.7886527291650953,Mordor,Frodo,The Eye of Sauron,975.3165037618726,2445933.0,1047.6241408485107,2641128
2024-09-07,7306,2.728743510198039,Mordor,Frodo,The Eye of Sauron,978.0452472720707,2453239.0,1050.3528843587087,2648434
2024-09-08,17736,6.324351333459368,Mordor,Frodo,The Eye of Sauron,984.3695986055301,2470975.0,1056.677235692168,2666170
2024-09-09,12833,5.174211139365608,Mordor,Frodo,The Eye of Sauron,989.5438097448956,2483808.0,1061.8514468315336,2679003
2024-09-10,12515,5.042710325111618,Mordor,Frodo,The Eye of Sauron,994.5865200700073,2496323.0,1066.8941571566452,2691518
2024-09-11,5343,1.942432699599467,Mordor,Frodo,The Eye of Sauron,996.5289527696067,2501666.0,1068.8365898562447,2696861
2024-09-12,22056,8.920221620946007,Mordor,Frodo,The Eye of Sauron,1005.4491743905527,2523722.0,1077.7568114771907,2718917
2024-09-13,8861,3.697150592218726,Mordor,Frodo,The Eye of Sauron,1009.1463249827715,2532583.0,1081.4539620694095,2727778
2024-09-14,3038,1.206417058469132,Mordor,Frodo,The Eye of Sauron,1010.3527420412406,2535621.0,1082.6603791278787,2730816
2024-09-15,12588,4.445999619246481,Mordor,Frodo,The Eye of Sauron,1014.798741660487,2548209.0,1087.1063787471253,2743404
2024-09-16,7165,2.789508273005862,Mordor,Frodo,The Eye of Sauron,1017.588249933493,2555374.0,1089.895887020131,2750569
2024-09-17,11279,4.612548542035526,Mordor,Frodo,The Eye of Sauron,1022.2007984755285,2566653.0,1094.5084355621666,2761848
2024-09-18,11886,4.874606560845445,Mordor,Frodo,The Eye of Sauron,1027.075405036374,2578539.0,1099.383042123012,2773734
2024-09-19,22803,8.612999660159268,Mordor,Frodo,The Eye of Sauron,1035.688404696533,2601342.0,1107.9960417831712,2796537
2024-09-20,32607,13.53875050459438,Mordor,Frodo,The Eye of Sauron,1049.2271552011275,2633949.0,1121.5347922877656,2829144
2024-09-21,22699,9.219057698431941,Mordor,Frodo,The Eye of Sauron,1058.4462128995594,2656648.0,1130.7538499861976,2851843
2024-09-22,21443,8.18159325936609,Mordor,Frodo,The Eye of Sauron,1066.6278061589255,2678091.0,1138.9354432455636,2873286
2024-09-23,14431,5.888201954118939,Mordor,Frodo,The Eye of Sauron,1072.5160081130446,2692522.0,1144.8236451996827,2887717
2024-09-24,7039,2.9235247825465267,Mordor,Frodo,The Eye of Sauron,1075.4395328955911,2699561.0,1147.7471699822293,2894756
2024-09-25,13845,5.689143947083761,Mordor,Frodo,The Eye of Sauron,1081.1286768426748,2713406.0,1153.436313929313,2908601
2024-09-26,7137,2.972948260725939,Mordor,Frodo,The Eye of Sauron,1084.1016251034007,2720543.0,1156.4092621900388,2915738
2024-09-27,7652,3.024046292763133,Mordor,Frodo,The Eye of Sauron,1087.1256713961639,2728195.0,1159.433308482802,2923390
2024-09-28,7939,3.228169845399822,Mordor,Frodo,The Eye of Sauron,1090.3538412415637,2736134.0,1162.6614783282018,2931329
2024-09-29,23226,8.993184180071957,Mordor,Frodo,The Eye of Sauron,1099.3470254216356,2759360.0,1171.6546625082738,2954555
2024-09-30,3390,1.293537576156115,Mordor,Frodo,The Eye of Sauron,1100.6405629977917,2762750.0,1172.9482000844298,2957945
2024-10-01,22233,9.174824098882128,Mordor,Frodo,The Eye of Sauron,1109.815387096674,2784983.0,1182.1230241833118,2980178
2024-10-02,11247,4.5746628234769755,Mordor,Frodo,The Eye of Sauron,1114.390049920151,2796230.0,1186.6976870067888,2991425
2024-10-03,9841,3.729264799298629,Mordor,Frodo,The Eye of Sauron,1118.1193147194494,2806071.0,1190.4269518060873,3001266
2024-10-04,20347,8.112712964767606,Mordor,Frodo,The Eye of Sauron,1126.2320276842172,2826418.0,1198.5396647708549,3021613
2024-10-05,15211,5.931774798755147,Mordor,Frodo,The Eye of Sauron,1132.1638024829722,2841629.0,1204.47143956961,3036824
2024-10-06,22940,9.546618929927849,Mordor,Frodo,The Eye of Sauron,1141.7104214129001,2864569.0,1214.018058499538,3059764
2024-10-07,5515,2.1090277589717297,Mordor,Frodo,The Eye of Sauron,1143.8194491718718,2870084.0,1216.1270862585097,3065279
2024-10-08,7578,2.941357183449036,Mordor,Frodo,The Eye of Sauron,1146.760806355321,2877662.0,1219.0684434419588,3072857
2024-10-09,3349,1.288982029430582,Mordor,Frodo,The Eye of Sauron,1148.0497883847515,2881011.0,1220.3574254713894,3076206
2024-10-10,1218,0.3880268996165751,Mordor,Frodo,The Eye of Sauron,1148.437815284368,2882229.0,1220.745452371006,3077424
2024-10-11,2333,0.8904056074753189,Mordor,Frodo,The Eye of Sauron,1149.3282208918433,2884562.0,1221.6358579784812,3079757
2024-10-12,22699,8.487460035353203,Mordor,Frodo,The Eye of Sauron,1157.8156809271966,2907261.0,1230.1233180138345,3102456
2024-10-13,24978,9.555290332338096,Mordor,Frodo,The Eye of Sauron,1167.3709712595346,2932239.0,1239.6786083461725,3127434
2024-10-14,15955,6.577981704391352,Mordor,Frodo,The Eye of Sauron,1173.948952963926,2948194.0,1246.2565900505638,3143389
2024-10-15,3229,1.2723744349255977,Mordor,Frodo,The Eye of Sauron,1175.2213273988516,2951423.0,1247.5289644854893,3146618
2024-10-16,13336,5.50671399847781,Mordor,Frodo,The Eye of Sauron,1180.7280413973294,2964759.0,1253.035678483967,3159954
2024-10-17,15846,6.635091230335132,Mordor,Frodo,The Eye of Sauron,1187.3631326276645,2980605.0,1259.6707697143022,3175800
2024-10-18,9722,3.868031614492366,Mordor,Frodo,The Eye of Sauron,1191.2311642421569,2990327.0,1263.5388013287945,3185522
